Warehouse,Country,Region/State,Zip/Postal Code,Weight (and above),Method,Shipping Price
0,USA,AK,,1,1,11.99
0,USA,AK,,2,1,11.99
0,USA,AK,,3,1,9.99
0,USA,AK,,4,1,9.99
0,USA,AK,,5,1,9.99
0,USA,AK,,6,1,0
0,USA,AK,,7,1,0
0,USA,AK,,8,1,0
0,USA,AK,,9,1,0
0,USA,AK,,10,1,0
0,USA,AK,,11,1,0
0,USA,AK,,12,1,0
0,USA,AZ,,1,1,11.99
0,USA,AZ,,2,1,11.99
0,USA,AZ,,3,1,9.99
0,USA,AZ,,4,1,9.99
0,USA,AZ,,5,1,9.99
0,USA,AZ,,6,1,0
0,USA,AZ,,7,1,0
0,USA,AZ,,8,1,0
0,USA,AZ,,9,1,0
0,USA,AZ,,10,1,0
0,USA,AZ,,11,1,0
0,USA,AZ,,12,1,0
0,USA,CA,,1,1,11.99
0,USA,CA,,2,1,11.99
0,USA,CA,,3,1,9.99
0,USA,CA,,4,1,9.99
0,USA,CA,,5,1,9.99
0,USA,CA,,6,1,0
0,USA,CA,,7,1,0
0,USA,CA,,8,1,0
0,USA,CA,,9,1,0
0,USA,CA,,10,1,0
0,USA,CA,,11,1,0
0,USA,CA,,12,1,0
0,USA,CO,,1,1,11.99
0,USA,CO,,2,1,11.99
0,USA,CO,,3,1,9.99
0,USA,CO,,4,1,9.99
0,USA,CO,,5,1,9.99
0,USA,CO,,6,1,0
0,USA,CO,,7,1,0
0,USA,CO,,8,1,0
0,USA,CO,,9,1,0
0,USA,CO,,10,1,0
0,USA,CO,,11,1,0
0,USA,CO,,12,1,0
0,USA,CT,,1,1,11.99
0,USA,CT,,2,1,11.99
0,USA,CT,,3,1,9.99
0,USA,CT,,4,1,9.99
0,USA,CT,,5,1,9.99
0,USA,CT,,6,1,0
0,USA,CT,,7,1,0
0,USA,CT,,8,1,0
0,USA,CT,,9,1,0
0,USA,CT,,10,1,0
0,USA,CT,,11,1,0
0,USA,CT,,12,1,0
0,USA,DC,,1,1,11.99
0,USA,DC,,2,1,11.99
0,USA,DC,,3,1,9.99
0,USA,DC,,4,1,9.99
0,USA,DC,,5,1,9.99
0,USA,DC,,6,1,0
0,USA,DC,,7,1,0
0,USA,DC,,8,1,0
0,USA,DC,,9,1,0
0,USA,DC,,10,1,0
0,USA,DC,,11,1,0
0,USA,DC,,12,1,0
0,USA,FL,,1,1,11.99
0,USA,FL,,2,1,11.99
0,USA,FL,,3,1,9.99
0,USA,FL,,4,1,9.99
0,USA,FL,,5,1,9.99
0,USA,FL,,6,1,0
0,USA,FL,,7,1,0
0,USA,FL,,8,1,0
0,USA,FL,,9,1,0
0,USA,FL,,10,1,0
0,USA,FL,,11,1,0
0,USA,FL,,12,1,0
0,USA,GA,,1,1,11.99
0,USA,GA,,2,1,11.99
0,USA,GA,,3,1,9.99
0,USA,GA,,4,1,9.99
0,USA,GA,,5,1,9.99
0,USA,GA,,6,1,0
0,USA,GA,,7,1,0
0,USA,GA,,8,1,0
0,USA,GA,,9,1,0
0,USA,GA,,10,1,0
0,USA,GA,,11,1,0
0,USA,GA,,12,1,0
0,USA,HI,,1,1,11.99
0,USA,HI,,2,1,11.99
0,USA,HI,,3,1,9.99
0,USA,HI,,4,1,9.99
0,USA,HI,,5,1,9.99
0,USA,HI,,6,1,0
0,USA,HI,,7,1,0
0,USA,HI,,8,1,0
0,USA,HI,,9,1,0
0,USA,HI,,10,1,0
0,USA,HI,,11,1,0
0,USA,HI,,12,1,0
0,USA,ID,,1,1,11.99
0,USA,ID,,2,1,11.99
0,USA,ID,,3,1,9.99
0,USA,ID,,4,1,9.99
0,USA,ID,,5,1,9.99
0,USA,ID,,6,1,0
0,USA,ID,,7,1,0
0,USA,ID,,8,1,0
0,USA,ID,,9,1,0
0,USA,ID,,10,1,0
0,USA,ID,,11,1,0
0,USA,ID,,12,1,0
0,USA,IL,,1,1,11.99
0,USA,IL,,2,1,11.99
0,USA,IL,,3,1,9.99
0,USA,IL,,4,1,9.99
0,USA,IL,,5,1,9.99
0,USA,IL,,6,1,0
0,USA,IL,,7,1,0
0,USA,IL,,8,1,0
0,USA,IL,,9,1,0
0,USA,IL,,10,1,0
0,USA,IL,,11,1,0
0,USA,IL,,12,1,0
0,USA,IN,,1,1,11.99
0,USA,IN,,2,1,11.99
0,USA,IN,,3,1,9.99
0,USA,IN,,4,1,9.99
0,USA,IN,,5,1,9.99
0,USA,IN,,6,1,0
0,USA,IN,,7,1,0
0,USA,IN,,8,1,0
0,USA,IN,,9,1,0
0,USA,IN,,10,1,0
0,USA,IN,,11,1,0
0,USA,IN,,12,1,0
0,USA,KS,,1,1,11.99
0,USA,KS,,2,1,11.99
0,USA,KS,,3,1,9.99
0,USA,KS,,4,1,9.99
0,USA,KS,,5,1,9.99
0,USA,KS,,6,1,0
0,USA,KS,,7,1,0
0,USA,KS,,8,1,0
0,USA,KS,,9,1,0
0,USA,KS,,10,1,0
0,USA,KS,,11,1,0
0,USA,KS,,12,1,0
0,USA,KY,,1,1,11.99
0,USA,KY,,2,1,11.99
0,USA,KY,,3,1,9.99
0,USA,KY,,4,1,9.99
0,USA,KY,,5,1,9.99
0,USA,KY,,6,1,0
0,USA,KY,,7,1,0
0,USA,KY,,8,1,0
0,USA,KY,,9,1,0
0,USA,KY,,10,1,0
0,USA,KY,,11,1,0
0,USA,KY,,12,1,0
0,USA,LA,,1,1,11.99
0,USA,LA,,2,1,11.99
0,USA,LA,,3,1,9.99
0,USA,LA,,4,1,9.99
0,USA,LA,,5,1,9.99
0,USA,LA,,6,1,0
0,USA,LA,,7,1,0
0,USA,LA,,8,1,0
0,USA,LA,,9,1,0
0,USA,LA,,10,1,0
0,USA,LA,,11,1,0
0,USA,LA,,12,1,0
0,USA,ME,,1,1,11.99
0,USA,ME,,2,1,11.99
0,USA,ME,,3,1,9.99
0,USA,ME,,4,1,9.99
0,USA,ME,,5,1,9.99
0,USA,ME,,6,1,0
0,USA,ME,,7,1,0
0,USA,ME,,8,1,0
0,USA,ME,,9,1,0
0,USA,ME,,10,1,0
0,USA,ME,,11,1,0
0,USA,ME,,12,1,0
0,USA,MD,,1,1,11.99
0,USA,MD,,2,1,11.99
0,USA,MD,,3,1,9.99
0,USA,MD,,4,1,9.99
0,USA,MD,,5,1,9.99
0,USA,MD,,6,1,0
0,USA,MD,,7,1,0
0,USA,MD,,8,1,0
0,USA,MD,,9,1,0
0,USA,MD,,10,1,0
0,USA,MD,,11,1,0
0,USA,MD,,12,1,0
0,USA,MI,,1,1,11.99
0,USA,MI,,2,1,11.99
0,USA,MI,,3,1,9.99
0,USA,MI,,4,1,9.99
0,USA,MI,,5,1,9.99
0,USA,MI,,6,1,0
0,USA,MI,,7,1,0
0,USA,MI,,8,1,0
0,USA,MI,,9,1,0
0,USA,MI,,10,1,0
0,USA,MI,,11,1,0
0,USA,MI,,12,1,0
0,USA,MN,,1,1,11.99
0,USA,MN,,2,1,11.99
0,USA,MN,,3,1,9.99
0,USA,MN,,4,1,9.99
0,USA,MN,,5,1,9.99
0,USA,MN,,6,1,0
0,USA,MN,,7,1,0
0,USA,MN,,8,1,0
0,USA,MN,,9,1,0
0,USA,MN,,10,1,0
0,USA,MN,,11,1,0
0,USA,MN,,12,1,0
0,USA,MO,,1,1,11.99
0,USA,MO,,2,1,11.99
0,USA,MO,,3,1,9.99
0,USA,MO,,4,1,9.99
0,USA,MO,,5,1,9.99
0,USA,MO,,6,1,0
0,USA,MO,,7,1,0
0,USA,MO,,8,1,0
0,USA,MO,,9,1,0
0,USA,MO,,10,1,0
0,USA,MO,,11,1,0
0,USA,MO,,12,1,0
0,USA,MT,,1,1,11.99
0,USA,MT,,2,1,11.99
0,USA,MT,,3,1,9.99
0,USA,MT,,4,1,9.99
0,USA,MT,,5,1,9.99
0,USA,MT,,6,1,0
0,USA,MT,,7,1,0
0,USA,MT,,8,1,0
0,USA,MT,,9,1,0
0,USA,MT,,10,1,0
0,USA,MT,,11,1,0
0,USA,MT,,12,1,0
0,USA,NE,,1,1,11.99
0,USA,NE,,2,1,11.99
0,USA,NE,,3,1,9.99
0,USA,NE,,4,1,9.99
0,USA,NE,,5,1,9.99
0,USA,NE,,6,1,0
0,USA,NE,,7,1,0
0,USA,NE,,8,1,0
0,USA,NE,,9,1,0
0,USA,NE,,10,1,0
0,USA,NE,,11,1,0
0,USA,NE,,12,1,0
0,USA,NV,,1,1,11.99
0,USA,NV,,2,1,11.99
0,USA,NV,,3,1,9.99
0,USA,NV,,4,1,9.99
0,USA,NV,,5,1,9.99
0,USA,NV,,6,1,0
0,USA,NV,,7,1,0
0,USA,NV,,8,1,0
0,USA,NV,,9,1,0
0,USA,NV,,10,1,0
0,USA,NV,,11,1,0
0,USA,NV,,12,1,0
0,USA,NJ,,1,1,11.99
0,USA,NJ,,2,1,11.99
0,USA,NJ,,3,1,9.99
0,USA,NJ,,4,1,9.99
0,USA,NJ,,5,1,9.99
0,USA,NJ,,6,1,0
0,USA,NJ,,7,1,0
0,USA,NJ,,8,1,0
0,USA,NJ,,9,1,0
0,USA,NJ,,10,1,0
0,USA,NJ,,11,1,0
0,USA,NJ,,12,1,0
0,USA,NM,,1,1,11.99
0,USA,NM,,2,1,11.99
0,USA,NM,,3,1,9.99
0,USA,NM,,4,1,9.99
0,USA,NM,,5,1,9.99
0,USA,NM,,6,1,0
0,USA,NM,,7,1,0
0,USA,NM,,8,1,0
0,USA,NM,,9,1,0
0,USA,NM,,10,1,0
0,USA,NM,,11,1,0
0,USA,NM,,12,1,0
0,USA,NY,,1,1,11.99
0,USA,NY,,2,1,11.99
0,USA,NY,,3,1,9.99
0,USA,NY,,4,1,9.99
0,USA,NY,,5,1,9.99
0,USA,NY,,6,1,0
0,USA,NY,,7,1,0
0,USA,NY,,8,1,0
0,USA,NY,,9,1,0
0,USA,NY,,10,1,0
0,USA,NY,,11,1,0
0,USA,NY,,12,1,0
0,USA,NC,,1,1,11.99
0,USA,NC,,2,1,11.99
0,USA,NC,,3,1,9.99
0,USA,NC,,4,1,9.99
0,USA,NC,,5,1,9.99
0,USA,NC,,6,1,0
0,USA,NC,,7,1,0
0,USA,NC,,8,1,0
0,USA,NC,,9,1,0
0,USA,NC,,10,1,0
0,USA,NC,,11,1,0
0,USA,NC,,12,1,0
0,USA,OH,,1,1,11.99
0,USA,OH,,2,1,11.99
0,USA,OH,,3,1,9.99
0,USA,OH,,4,1,9.99
0,USA,OH,,5,1,9.99
0,USA,OH,,6,1,0
0,USA,OH,,7,1,0
0,USA,OH,,8,1,0
0,USA,OH,,9,1,0
0,USA,OH,,10,1,0
0,USA,OH,,11,1,0
0,USA,OH,,12,1,0
0,USA,OR,,1,1,11.99
0,USA,OR,,2,1,11.99
0,USA,OR,,3,1,9.99
0,USA,OR,,4,1,9.99
0,USA,OR,,5,1,9.99
0,USA,OR,,6,1,0
0,USA,OR,,7,1,0
0,USA,OR,,8,1,0
0,USA,OR,,9,1,0
0,USA,OR,,10,1,0
0,USA,OR,,11,1,0
0,USA,OR,,12,1,0
0,USA,SC,,1,1,11.99
0,USA,SC,,2,1,11.99
0,USA,SC,,3,1,9.99
0,USA,SC,,4,1,9.99
0,USA,SC,,5,1,9.99
0,USA,SC,,6,1,0
0,USA,SC,,7,1,0
0,USA,SC,,8,1,0
0,USA,SC,,9,1,0
0,USA,SC,,10,1,0
0,USA,SC,,11,1,0
0,USA,SC,,12,1,0
0,USA,TN,,1,1,11.99
0,USA,TN,,2,1,11.99
0,USA,TN,,3,1,9.99
0,USA,TN,,4,1,9.99
0,USA,TN,,5,1,9.99
0,USA,TN,,6,1,0
0,USA,TN,,7,1,0
0,USA,TN,,8,1,0
0,USA,TN,,9,1,0
0,USA,TN,,10,1,0
0,USA,TN,,11,1,0
0,USA,TN,,12,1,0
0,USA,VT,,1,1,11.99
0,USA,VT,,2,1,11.99
0,USA,VT,,3,1,9.99
0,USA,VT,,4,1,9.99
0,USA,VT,,5,1,9.99
0,USA,VT,,6,1,0
0,USA,VT,,7,1,0
0,USA,VT,,8,1,0
0,USA,VT,,9,1,0
0,USA,VT,,10,1,0
0,USA,VT,,11,1,0
0,USA,VT,,12,1,0
0,USA,VA,,1,1,11.99
0,USA,VA,,2,1,11.99
0,USA,VA,,3,1,9.99
0,USA,VA,,4,1,9.99
0,USA,VA,,5,1,9.99
0,USA,VA,,6,1,0
0,USA,VA,,7,1,0
0,USA,VA,,8,1,0
0,USA,VA,,9,1,0
0,USA,VA,,10,1,0
0,USA,VA,,11,1,0
0,USA,VA,,12,1,0
0,USA,WA,,1,1,11.99
0,USA,WA,,2,1,11.99
0,USA,WA,,3,1,9.99
0,USA,WA,,4,1,9.99
0,USA,WA,,5,1,9.99
0,USA,WA,,6,1,0
0,USA,WA,,7,1,0
0,USA,WA,,8,1,0
0,USA,WA,,9,1,0
0,USA,WA,,10,1,0
0,USA,WA,,11,1,0
0,USA,WA,,12,1,0
0,USA,WV,,1,1,11.99
0,USA,WV,,2,1,11.99
0,USA,WV,,3,1,9.99
0,USA,WV,,4,1,9.99
0,USA,WV,,5,1,9.99
0,USA,WV,,6,1,0
0,USA,WV,,7,1,0
0,USA,WV,,8,1,0
0,USA,WV,,9,1,0
0,USA,WV,,10,1,0
0,USA,WV,,11,1,0
0,USA,WV,,12,1,0
0,USA,WI,,1,1,11.99
0,USA,WI,,2,1,11.99
0,USA,WI,,3,1,9.99
0,USA,WI,,4,1,9.99
0,USA,WI,,5,1,9.99
0,USA,WI,,6,1,0
0,USA,WI,,7,1,0
0,USA,WI,,8,1,0
0,USA,WI,,9,1,0
0,USA,WI,,10,1,0
0,USA,WI,,11,1,0
0,USA,WI,,12,1,0
0,USA,WY,,1,1,11.99
0,USA,WY,,2,1,11.99
0,USA,WY,,3,1,9.99
0,USA,WY,,4,1,9.99
0,USA,WY,,5,1,9.99
0,USA,WY,,6,1,0
0,USA,WY,,7,1,0
0,USA,WY,,8,1,0
0,USA,WY,,9,1,0
0,USA,WY,,10,1,0
0,USA,WY,,11,1,0
0,USA,WY,,12,1,0
